Año,Título
1975,Moreira
1981,"Ema, la cautiva"
1983,La luz argentina
1984,El vestido rosa. Las ovejas
1984,Canto castrato
1987,Una novela china
1990,Los fantasmas
1991,El bautismo
1991,La liebre
1992,La guerra de los gimnasios
1992,Embalse
1992,El llanto
1992,El volante
1992,La prueba
1993,Cómo me hice monja
1993,Fragmentos de un diario en los Alpes
1994,Diario de la hepatitis
1994,El infinito
1994,La costurera y el viento
1994,Los misterios de Rosario
1995,Los dos payasos
1995,La fuente
1996,La abeja
1997,Dante y Reina
1997,Taxol: precedido de Duchamp en México y La broma
1997,El congreso de literatura
1997,La serpiente
1998,Las curas milagrosas del Doctor Aira
1998,La trompeta del mimbre
1998,El sueño
1999,La mendiga
2000,Haikus
2000,El juego de los mundos
2000,Un episodio en la vida del pintor viajero
2001,Un sueño realizado
2001,La villa
2002,Varamo
2002,El mago
2002,La pastilla de hormona
2003,La princesa Primavera
2003,Mil gotas
2003,El tilo
2004,Las noches de Flores
2004,Yo era una chica moderna
2004,Cumpleaños
2005,Yo era una niña de siete años
2005,El cerebro musical
2005,El pequeño monje budista
2005,Cómo me reí
2006,Parménides
2006,La cena
2006,La villa
2006,El todo que surca la nada
2007,Las conversaciones
2007,La vida nueva
2007,Picasso
2008,Las aventuras de Barbaverde
2009,La confesión
2009,La revista Atenea
2010,Yo era una mujer casada
2010,El perro
2010,El té de Dios
2010,El error
2010,El divorcio
2010,Festival
2011,En el café
2011,El hornero
2011,El criminal y el dibujante
2011,Cecyl Taylor
2011,El mármol
2011,El náufrago
2011,Los dos hombres
2012,Entre los indios
2013,Relatos reunidos
2013,El ilustre mago
2013,El testamento del mago tenor
2013,Tres historias pringlenses
2013,Actos de caridad
2013,Margarita (un recuerdo)
2014,Artforum
2014,Triano
2014,Biografía
2015,El santo
2015,La invención del tren fantasma
2017,Una aventura
2017,Eterna juventud
2017,Saltó al otro lado
2018,El gran misterio
2018,Un filósofo
2018,Prins
2019,El presidente
2019,Pinceladas musicales
2020,Fulgentius
2020,Lugones
2020,El pelícano
2021,Kómodo
2021,En la confitería del Gas
2021,En el Congo
2021,Vilnius
2022,"El jardinero, el escultor y el fugitivo"
2022,El panadero
2022,Los últimos días de Nostradamus
1991,Nouvelles Impressions du Petit-Maroc
1991,Copi
1995,Las grandes estancias
1998,"""La nueva escritura"""
1998,Alejandra Pizarnik
2001,Diccionario de autores latinoamericanos
2001,Las tres fechas
2004,Edward Lear
2014,Continuación de ideas diversas
2016,Sobre el arte contemporáneo seguido de En la Habana
2017,Evasión y otros ensayos
2021,La ola que lee
2021,Catálogo descriptivo de la obra de Emeterio Cerro
2022,El crítico - La prosopopeya
2022,Una educación defectuosa: Discurso de recepción del Premio Formentor
1993,Madre e hijo (una pieza en un acto)
1996,El mensajero
1999,César Aira: el realismo y sus extremos (de Laura Estrin)
2002,Las vueltas de César Aira (de Sandra Contrera)[14]​
2006,Degeneraciones textuales. Los géneros en la obra de Aira (de Mariano García)[15]​[16]​
2012,La última de César Aira (de Ariel Ídez)
2014,Las figuras paradójicas de César Aira. Un estudio semiótico y axiológico de la estereotipia y la autofiguración (de Pablo Decock)
2014,"Averías literarias. Ensayos críticos sobre César Aira (de Alejandro Ramírez Lámbarry, Felipe A. Ríos Baeza, Alicia V. Ramírez Olivares y Alejandro Palma Castro)[17]​"
2015,Aufoficción y metaficción en la obra de César Aira: una propuesta sobre la ruptura de géneros (de Alexandra Saavedra Galindo)
2015,Un episodio en la pintura viajera. El artista de César Aira (de David Jacobo Viveros Granja)[18]​
2017,La escritura del procedimiento imaginativo. La creación continua en César Aira (de David Jacobo Viveros Granja)[19]​
2018,"César Aira, un catálogo (de Ricardo Strafacce)[20]​"
2019,Ideario Aira (de Ariel Magnus)[21]​[22]​
2022,"Los años Aira (de Alberto Giordano), Neutrinos."
2002,Tan de repente (adaptación del director Diego Lerman de la nouvelle La prueba)
2005,La guerra de los gimnasios (adaptación del director Diego Lerman de la nouvelle homónima)
1994,Premio Konex
1996,Beca Guggenheim
2004,Premio Konex
2013,Premio a la Trayectoria Artística del Fondo Nacional de las Artes en la categoría Letras
2014,Premio Roger Caillois
2016,Premio Iberoamericano de Narrativa Manuel Rojas
2021,Premio Formentor[23]​[24]​
"↑ Matus, Álvaro (25 de noviembre de 2016). «César Aira","""No hago novelas, sino juguetes literarios para adultos""». Revista Santiago (Universidad Diego Portales). Archivado desde el original el 25 de septiembre de 2018. Consultado el 24 de septiembre de 2018."
↑ «Premio Caillois,César Aira sigue multiplicando su obra». Télam. 19 de noviembre de 2014.
"↑ Valle, Gustavo; Chacón, Pablo (septiembre de 2003). «Vasos comunicantes","entrevistas con César Aira y Rodolfo Enrique Fogwill». Letras Libres. «El cuento se refiere a un hecho completo, que ya terminó cuando se lo empieza a contar. La novela está más abierta a los cambios de intención, a las improvisaciones. Se puede empezar a escribir una novela sin saber cómo va a terminar, y de hecho creo que siempre se hace así »."
"↑ Serra Bradford, Matías (21 de septiembre de 2018). «Un año, seis libros",César Aira y sus planes de evasión». Revista Ñ (Clarín).
↑ «Anticipo del nuevo libro de Ariel Magnus|Las novelas de Aira,fuente inagotable de ideas insólitas». Clarín. 8 de febrero de 2019.
"Frías, Miguel (26 de agosto de 2018). «El escritor y su enigma",Guía para entrar al universo Aira y a sus 102 novelas». Clarín.
"Greenberg, Michael (2 de marzo de 2011). «César Aira en Estados Unidos","El nacimiento de un boom», Revista Ñ, Clarín (traducción de «The Novelist Who Can’t Be Stopped», New York Review of Books, 13 de enero de 2011; traductora: Cristina Sardoy)."
"Francesc Relea, «Cesar Aira, la vanguardia argentina","'Si uno descubre que no es un genio, no se resigna a ser lo que viene después'» (entrevista), Babelia, 29-6-2002."
"""Un discurso breve""",Discurso inaugural del 16º festival de literatura internacional de berlín.
Datos,Q166590
VIAF,115982810
ISNI,0000 0001 2103 9674
BNA,000024279
BNE,XX831255
BNF,12087881t (data)
BNC,000199289
CANTIC,981058519714806706
GND,123553407
LCCN,n82205131
NDL,001117664
NKC,jo2004249871
NLA,36002147
NLI,987007257529705171
CiNii,DA11279001
SUDOC,029203279
BIBSYS,90770894
ICCU,RAVV063767
Deutsche Biographie,123553407
Open Library,OL4287831A
BVMC,42375
Europeana,agent/base/83879
IMDb,nm1193600
Datos,Q166590
Obtenido de «https,//es.wikipedia.org/w/index.php?title=César_Aira&oldid=155191160»
Categorías,HombresNacidos en 1949Escritores de la provincia de Buenos AiresDramaturgos de ArgentinaNovelistas de ArgentinaPringlensesTraductores de ArgentinaEscritores en español del siglo XXEscritores en español del siglo XXITraductores de William ShakespeareTraductores del siglo XXITraductores del siglo XXTraductores del inglés al españolEnsayistas de ArgentinaEscritores de género masculino de ArgentinaPremio Iberoamericano de Narrativa Manuel RojasCategorías ocultas: Wikipedia:Páginas con enlaces mágicos de ISBNWikipedia:Artículos con identificadores VIAFWikipedia:Artículos con identificadores ISNIWikipedia:Artículos con identificadores BNAWikipedia:Artículos con identificadores BNEWikipedia:Artículos con identificadores BNFWikipedia:Artículos con identificadores BNCWikipedia:Artículos con identificadores CANTICWikipedia:Artículos con identificadores GNDWikipedia:Artículos con identificadores LCCNWikipedia:Artículos con identificadores NLAWikipedia:Artículos con identificadores BIBSYSWikipedia:Artículos con identificadores SBNWikipedia:Artículos con identificadores DeutscheBiographieWikipedia:Artículos con identificadores Open LibraryWikipedia:Artículos con identificadores BVMC personaWikipedia:Artículos con identificadores EuropeanaWikipedia:Control de autoridades con 23 elementosPersonas vivas
Esta página se editó por última vez el 9 nov 2023 a las 17,15.
